psraid,sample,lang,state,fips,cregion,usr,llitext,form,sex,q1,intuse,emlocc,eminuse,intmob,home3nw,q2,modem4b,q3,q4,q5,q6,q7,q9,act21,act87,act93,act112,act130,look1,look2,loc1a,loc1b,q10a,q10b,cellphn,smart1,smart2,q11a,q11b,q11c,q11d,q11e,q11f,q12,loc2a,loc2b,loc3m1,loc3m2,loc3m3,loc3m4,loc3m5,loc3m6,loc3m7,loc3m8,loc3m9,loc3m10,loc3m11,loc3m12,loc3m13,mar,2-Mar,3-Mar,4-Mar,meet,rel1,rel2,rel3,intdatea,intdateb,intdatec,intdated,intdatee,snsdate1a,snsdate1b,snsdate1c,snsdate1d,snsdate1e,snsdate2a,snsdate2b,snsdate2c,celldatea,celldateb,breaka,breakb,date1a,date1bm1,date1bm2,date1bm3,date1bm4,date1bm5,date1bm6,date1bm7,date1bm8,date1bm9,date1bm10,date1bm11,date1bm12,date1bm13,date1bm14,date1bm15,date1bm16,date1bm17,date2a,date2bm1,date2bm2,date2bm3,date2bm4,date2bm5,date2bm6,date2bm7,date2bm8,date2bm9,date2bm10,date2bm11,date2bm12,date2bm13,date2bm14,date2bm15,date2bm16,date3a,date3b,date4a,date4b,date4c,date5a,date5b,date5c,date5d,date5e,date5f,date6,date7,date8a,date8b,date8c,date8d,date8e,date9a,date9b,date9c,date9d,rel4a,rel4b,rel4c,rel5,rel6,rel7,rel8a,rel8b,rel8c,rel8d,rel8e,rel8f,q13a,q13b,q13c,age,par,qd2b1,qd2b2,qd2c,hh1,educ2,emplnw,hisp,birth_hisp,race,inc,lgbt,ql1a,ql2hh,qc1,qc2hh,q2os,modem4bos,q6os,smart2os,loc3os,rel3vb,date1bos,date2bos,raceos,weight,standwt
102136,1,1,26,26163,2,S,1,2,2,3, , ,1,1,1, ,4, , , , , , ,2,1,2,2,2,2,2, ,1,1,2,1,2,1,1,1,1,1,2,1,2,2,1, , , , , , , , , , , , , ,1, ,44, , ,2, , ,2,2, , , ,2,2, , , ,2,2,2, , , , ,2, , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , ,2,2, , , , , , , , , , , , , , , , ,1,1,2,1,2,2,2,2,3, ,2,2,2,2,2,2,2,2,2,62,2, , , ,2,3,3,2, ,1,6,1, ,3, , , , , , , , , , , ,3.580645161,1.130686185
102142,1,1,37,37021,3,S,2,2,1,4, , ,2,2, , , ,2,2,2,10,1,1, , , , , , , , , ,2,2,0, , , , , , , , , , , , , , , , , , , , , , , , ,6,1,20, , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2, , , , , , , , , , , , , , , , ,1,1,2,1, , , , ,3, , , , , , , , , , ,76,2, , , ,1,7,5,2, ,1,3,1,2, , , , , , , , , , , , ,1.516129032,0.478759015
102145,1,1,29,29510,2,S,1,1,2,2,2,2, ,2, , , ,2,2,2,1,1,2, , , , , , , , , ,2,2,0, , , , , , , , , , , , , , , , , , , , , , , , ,3,2, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2, , , , , , , , , , , , , , , , ,8,2,8,8, , , , , , , , , , , , , , , ,60,2, , , ,1,3,6,2, ,2,3,1,2, , , , , , , , , , , , ,3.677419355,1.161245271
102148,1,1,48,48313,3,R,1,1,1,3,2,2, ,2, , , ,2,2,2,9,1,2, , , , , , , , , ,2,2,0, , , , , , , , , , , , , , , , , , , , , , , , ,1, ,46, , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2, , , , , , , , , , , , , , , , ,2,8,2,1, , , , ,3, , , , , , , , , , ,69,2, , , ,2,6,3,2, ,1,98,1,2, , , , , , , , , , , , ,3,0.947331668
102151,1,1,18,18133,2,S,1,1,1,3,1,1, ,2,1, ,5, , , , , , ,1,1,2,2,2,2,2,2, ,1,2,1,2,7,2,2,2,2,2,1, ,2,2, , , , , , , , , , , , , ,1, ,38, , ,2, , ,2,2, , , ,2,2, , , ,2,2,2, , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1, , , , , , , , , , , , , , , , ,8,1,2,2,2,2,2,1,3, ,2,1,2,2,2,2,2,2,2,62,2, , , ,2,8,1,2, ,1,8,1, ,2, , , , , , , , , , , ,1.258064516,0.397268119
102167,1,1,37,37001,3,U,1,2,2,3, , ,1,1,1, ,4, , , , , , ,1,1,1,1,2,2,2, ,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,2,12, , , , , , , , , , , ,1, ,20, , ,2, , ,2,2, , , ,2,2, , , ,2,2,2, , , , ,2, , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , ,2,2, , , , , , , , , , , , , , , , ,2,2,2,2,2,2,2,1,3, ,2,2,2,2,2,2,2,2,2,46,1,0,0,1,3,3,3,2, ,1,5,1, ,2, , , , , , , , , , , ,4.451612903,1.40571796
102168,1,1,13,13247,3,S,1,2,2,2, , ,1,2,1, ,2, , , , , , ,1,1,2,2,2,1,2, ,1,1,2,1,2,7,2,2,2,2,2,1, ,2,2, , , , , , , , , , , , , ,3,2, ,2, , , , ,2,2, , , ,2,2, , , ,2,2,2, , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2, , , , , , , , , , , , , , , , ,2,2,2,2, , , , , , , , , , , , ,2,2,2,66,2, , , ,2,4,3,2, ,1,2,1, ,1, , , , , , , , , , , ,2.129032258,0.672299894
102172,1,1,39,39113,2,S,2,2,2,4, , ,1,2,1, ,3, , , , , , ,2,1,2,2,2,2,2, ,2,1,2,1,2,7,2,2,2,2,2,1, ,2,2, , , , , , , , , , , , , ,3,1,0, , ,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,2,2,1,1,1,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,1,2,2,2,1,1,1,1,2, , , , , , ,2,1,2,2,2,1,2,2,1,3,1,2,2,2,2,2,1,1,2,54,2, , , ,1,4,2,2, ,1,3,1, ,2, , , , , , , ,SPEED DATE, , , ,2.612903226,0.825095324
102173,1,1,36,36009,1,R,2,1,1,2,2,2, ,2, , , ,2,2,2,12,2,1, , , , , , , , , ,2,2,0, , , , , , , , , , , , , , , , , , , , , , , , ,3,2, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2, , , , , , , , , , , , , , , , ,2,2,8,8, , , , , , , , , , , , , , , ,99,8, , , ,1,3,1,2, ,1,99,1,2, , , , , , , , , , , , ,4.322580645,1.364972512
102181,1,1,36,36005,1,U,1,2,2,4, , ,1,1,1, ,3, , , , , , ,1,1,2,2,2,1,2, ,2,1,1,1,2,2,1,2,1,2,2,1,2,2,2, , , , , , , , , , , , , ,1, ,10, , ,2, , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2, , , , , , , , , , , , , , , , ,2,2,1,2,2,2,2,2,3, ,2,1,2,1,2,2,2,2,2,46,1,0,0,1,3,3,1,2, ,2,6,1, ,1, , , , , , , , , , , ,5.870967742,1.853917889
102184,1,1,51,51059,3,U,2,2,1,3, , ,2,2, , , ,2,2,2,3,9,2, , , , , , , , , ,2,2,0, , , , , , , , , , , , , , , , , , , , , , , , ,6,2, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2, , , , , , , , , , , , , , , , ,2,2,2,2, , , , , , , , , , , , , , , ,60,2, , , ,1,6,1,1,1,1,9,1,2, , , , , , , , , , , , ,2.064516129,0.65192717
102186,1,1,39,39161,2,R,2,1,2,2,1,1, ,1,1, ,2, , , , , , ,2,1,1,1,8,2,2,2, ,1,1,1,1,1,1,1,1,1,1,1,1,2,1, , , , , , , , , , , , , ,1, ,32, , ,2, , ,2,2, , , ,2,2, , , ,2,2,2, , , , ,2, , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , ,2,2, , , , , , , , , , , , , , , , ,2,2,2,2,2,2,2,2,3, ,2,2,2,2,2,2,2,2,2,50,2, , , ,3,8,1,2, ,1,9,1, ,1, , , , , , , , , , , ,2.548387097,0.8047226
102193,1,1,16,16043,4,R,1,2,1,2, , ,2,2, , , ,1,2,2,9,2,2, , , , , , , , , ,1,2,1,2,7,2,2,2,2,2,2, ,2,2, , , , , , , , , , , , , ,1, ,6, , ,2, , , , , , , , , , , , , , , ,2, ,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2, , , , , , , , , , , , , , , , ,1,8,8,8, , , , ,3, , ,2, , ,2,2,2,2,2,78,2, , , ,2,3,3,2, ,1,5,1, ,3, , , , , , , , , , , ,1.774193548,0.560249911
102196,1,1,22,22071,3,S,1,1,1,2,1,1, ,1,1, ,3, , , , , , ,2,1,2,2,2,1,1,2, ,1,1,1,1,1,1,1,1,1,1,1,1,2,2, , , , , , , , , , , , , ,1, ,18, , ,2, , ,2,2, , , ,2,2, , , ,2,2,2, , , , ,2, , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , ,2,2, , , , , , , , , , , , , , , , ,2,2,1,2,2,2,1,1,3, ,2,2,2,2,2,2,2,2,2,52,2, , , ,2,6,1,1,1,1,99,1, ,2, , , , , , , , , , , ,1.806451613,0.570436273
102241,1,1,36,36063,1,S,1,2,2,3, , ,1,2,1, ,4, , , , , , ,2,1,2,2,2,2,2, ,2,1,2,1,8,98,2,2,2,2,2,1, ,2,2, , , , , , , , , , , , , ,1, ,13, , ,2, , ,2,2, , , ,2,2, , , ,2,2,2, , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2, , , , , , , , , , , , , , , , ,1,1,8,2,1,2,2,1,3, ,2,2,2,2,2,2,2,2,2,61,2, , , ,2,3,3,2, ,1,5,1, ,2, , , , , , , , , , , ,3.032258065,0.95751803
102257,1,1,42,42101,1,U,1,2,2,2, , ,1,1,1, ,4, , , , , , ,1,1,1,2,2,2,2, ,2,1,2,1,8,3,1,1,1,2,2,1,3,2,2, , , , , , , , , , , , , ,5,2, ,2, , , , ,2,2, , , ,2,2, , , ,2,2,2, , , , ,2, , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , ,2,2, , , , , , , , , , , , , , , , ,8,1,2,2, , , , , , , , , , , , ,2,2,2,54,1,0,0,1,2,4,2,2, ,2,3,1, ,2, , , , , , , , , , , ,3.903225806,1.232549805
102260,1,1,48,48085,3,S,2,2,1,2, , ,1,1,1, ,3, , , , , , ,2,1,2,2,2,2,2, ,2,1,2,1,1,1,1,1,1,2,1,1,1,2,2, , , , , , , , , , , , , ,1, ,25, , ,2, , ,2,2, , , ,2,2, , , ,2,2,2, , , , ,2, , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , ,2,2, , , , , , , , , , , , , , , , ,8,1,2,8,2,2,2,2,3, ,2,2,2,2,2,2,2,2,2,55,2, , , ,2,3,1,2, ,1,7,1, ,2, , , , , , , , , , , ,3.483870968,1.100127099
102268,1,1,19,19139,2,R,1,2,1,2, , ,1,2,1, ,4, , , , , , ,1,2,2,2,2,1,2, , ,1,2,1,2,7,2,2,2,2,2,2, ,2,2, , , , , , , , , , , , , ,1, ,30, , ,2, , ,2,2, , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2, , , , , , , , , , , , , , , , ,2,2,2,9,2, ,2,1,3, ,2,2,2, ,2,2,2,2,2,67,2, , , ,2,5,3,2, ,1,7,1, ,2, , , , , , , , , , , ,1.612903226,0.509318101
102274,1,1,48,48199,3,S,2,2,2,3, , ,1,2,1, ,98, , , , , , ,2,1,2,2,2,2,2, ,2,1,2,1,2,6,2,2,2,2,2,1, ,2,2, , , , , , , , , , , , , ,1, ,30, , ,2, , ,2,2, , , ,2,2, , , ,2,2,2, , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1, , , , , , , , , , , , , , , , ,1,1,2,2,2,2,2,1,3, ,2,2,2,2,2,2,2,2,2,53,2, , , ,3,3,1,2, ,1,6,1, ,2, , , , , ,TOUCHPHONE, , , , , ,3.322580645,1.049195289
102280,1,1,48,48201,3,S,2,1,2,1,1,1, ,1,1, ,5, , , , , , ,2,1,2,2,2,1,1,2, ,1,1,1,1,1,1,1,1,1,1,1,1,2,1, , , , , , , , , , , , , ,1, ,16, , ,2, , ,1,2, , , ,1,1, , , ,2,2,2, , , , ,2, , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , ,1,1, , , , , , , , , , , , , , , , ,1,2,2,2,1,2,2,1,3, ,2,1,2,1,2,2,2,2,2,40,1,0,2,0,2,4,1,2, ,1,8,1, ,2, , , , , , , , , , , ,3.387096774,1.069568013
102284,1,1,55,55069,2,R,1,1,2,4,1,1, ,1,1, ,4, , , , , , ,2,2,2,2,2,2,1, , ,1,2,1,2,10,2,2,2,2,2,1, ,2,2, , , , , , , , , , , , , ,1, ,14, , ,2, , ,2,2, , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1, , , , , , , , , , , , , , , , ,1,1,1,2,1, ,2,1,3, ,2,2,2,2,2,2,2,2,2,46,1,0,0,1,2,8,1,2, ,1,6,1, ,2, , , , , , , , , , , ,1.741935484,0.550063549
102289,1,1,36,36047,1,U,2,1,2,4,1,1, ,2,1, ,2, , , , , , ,1,2,2,2,2,1,2, , ,1,2,1,2,7,2,2,2,2,2,1, ,2,2, , , , , , , , , , , , , ,1, ,40, , ,2, , ,2,2, , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2, , , , , , , , , , , , , , , , ,2,2,8,1,2, ,2,1,1,3,2,2,2,2,2,2,2,2,2,63,1,0,0,1,2,6,2,2, ,1,5,9, ,3, , , , , , , , , , , ,2.290322581,0.723231704
102291,1,1,34,34029,1,S,2,2,2,2, , ,1,2,1, ,4, , , , , , ,2,2,2,2,2,2,2, , ,1,2,1,2,8,2,2,2,2,2,2, ,2,2, , , , , , , , , , , , , ,5,2, ,2, , , , ,2,2, , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2, , , , , , , , , , , , , , , , ,2,2,2,2, , , , , , , , , , , , ,2,2,2,75,2, , , ,1,6,3,2, ,1,5,1, ,2, , , , , , , , , , , ,1,0.315777223
102300,1,1,13,13135,3,S,2,2,2,2, , ,1,1,1, ,4, , , , , , ,1,1,1,2,2,2,2, ,2,1,2,1,1,3,1,2,2,2,1,1,2,2,2, , , , , , , , , , , , , ,1, ,33, , ,2, , ,2,2, , , ,2,2, , , ,2,2,2, , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2, , , , , , , , , , , , , , , , ,1,1,2,1,2,2,2,1,3, ,2,2,2,2,2,2,2,2,2,50,2, , , ,3,6,1,2, ,1,6,1, ,1, , , , , , , , , , , ,4.096774194,1.293667977
102304,1,1,12,12069,3,S,2,2,2,2, , ,1,2,1, ,3, , , , , , ,2,1,2,2,1,2,2, ,2,1,2,1,2,7,2,2,2,2,1,2, ,2,2, , , , , , , , , , , , , ,1, ,56, , ,2, , ,2,2, , , ,2,2, , , ,2,2,2, , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2, , , , , , , , , , , , , , , , ,2,2,2,8,1,1,2,1,3, ,2,2,2, ,2,2,2,2,2,76,2, , , ,2,4,4,2, ,1,4,1, ,2, , , , , , , , , , , ,1.741935484,0.550063549
102311,1,1,51,51660,3,U,2,2,1,1, , ,1,1,1, ,3, , , , , , ,1,2,1,2,2,1,1, , ,1,2,1,1,3,1,1,1,1,1,1,2,2,1, , , , , , , , , , , , , ,1, ,37, , ,2, , ,2,2, , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , ,1,1, , , , , , , , , , , , , , , , ,1,2,2,2,2, ,2,1,3, ,2,2,2,2,2,2,2,2,2,58,2, , , ,3,8,1,2, ,5,9,1, ,2, , , , , , , , , , , ,2.935483871,0.926958944
102314,1,1,12,12097,3,S,2,2,2,3, , ,1,2,1, ,4, , , , , , ,1,2,1,2,2,1,1, , ,1,1,1,1,1,1,1,1,2,1,1,2,1,1,96, , , , , , , , , , , , ,3,2, ,2, , , , ,2,2, , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , ,2,2, , , , , , , , , , , , , , , , ,2,1,1,2, , , , , , , , , , , , ,1,2,2,55,1,1,0,0,1,4,4,1,3,9,1,1, ,3, , , , , , ,GOOGLE, , , , ,1.322580645,0.417640843
102333,1,1,48,48439,3,U,2,1,2,2,1,1, ,2,1, ,2, , , , , , ,2,1,2,2,2,2,2,2, ,1,2,1,2,7,2,2,2,2,2,2, ,2,2, , , , , , , , , , , , , ,5,2, ,2, , , , ,2,2, , , ,2,2, , , ,2,2,2, , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2, , , , , , , , , , , , , , , , ,8,2,2,8, , , , , , , , , , , , ,2,2,2,87,2, , , ,1,8,2,2, ,1,3,1, ,3, , , , , , , , , , , ,1,0.315777223
102338,1,1,42,42003,1,S,2,2,1,1, , ,1,1,1, ,8, , , , , , ,1,1,2,2,2,1,1, ,2,1,1,1,1,3,1,1,1,2,1,1,3,2,1, , , , , , , , , , , , , ,1, ,15, , ,2, , ,1,2, , , ,2,2, , , ,2,2,2, , , , ,2, , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , ,1,1, , , , , , , , , , , , , , , , ,1,1,2,2,2,2,2,1,3, ,2,2,2,2,2,2,2,2,2,51,2, , , ,2,8,1,2, ,1,9,1, ,2, , , ,"WIRELESS, CABLE, FIBER OPTIC", , , , , , , ,2.774193548,0.876027134
102347,1,1,37,37021,3,S,2,2,2,4, , ,1,1,1, ,4, , , , , , ,1,1,2,2,2,1,1, ,1,1,1,1,1,3,1,1,1,2,1,1,1,2,1, , , , , , , , , , , , , ,1, ,24, , ,2, , ,2,2, , , ,1,2, , , ,1,1,1, , , , ,2, , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , ,1,2, , , , , , , , , , , , , , , , ,1,1,2,1,1,1,1,1,2,1,2,2,2,2,2,2,2,1,2,47,2, , , ,2,2,1,2, ,1,7,1, ,2, , , , , , , , , , , ,3.612903226,1.140872547
102354,1,1,26,26003,2,R,1,2,1,3, , ,2,2, , , ,2,2,2,3,1,2, , , , , , , , , ,1,2,1,2,98,2,2,2,2,2,2, ,2,2, , , , , , , , , , , , , ,1, ,50, , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2, , , , , , , , , , , , , , , , ,1,1,8,8, , , , ,3, , ,2, , ,2,2,2,2,2,75,2, , , ,2,4,2,2, ,1,5,1, ,3, , , , , , , , , , , ,1.612903226,0.509318101
102355,1,1,54,54043,3,S,1,2,2,3, , ,1,2,1, ,2, , , , , , ,2,2,2,2,2,2,1, , ,2,2,0, , , , , , , , , , , , , , , , , , , , , , , , ,1, ,28, , ,2, , ,2,2, , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2, , , , , , , , , , , , , , , , ,2,2,1,2,2, ,2,2,3, ,2, ,2, ,2,2, , , ,48,2, , , ,4,3,4,2, ,2,3,1,1,2, , , , , , , , , , , ,4.290322581,1.354786149
102359,1,1,36,36013,1,R,1,2,1,2, , ,1,2,2,8, , , , , , , ,2,2,2,2,2,2,2, , ,2,2,0, , , , , , , , , , , , , , , , , , , , , , , , ,1, ,40, , ,2, , ,2,2, , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2, , , , , , , , , , , , , , , , ,2,1,2,1,2, ,2,2,3, ,2, ,2, ,2,2, , , ,64,2, , , ,3,3,3,2, ,1,3,1,2, , , , , , , , , , , , ,6.870967742,2.169695112
102360,1,1,39,39113,2,S,2,1,1,1,1,1, ,2,1, ,2, , , , , , ,2,2,2,2,2,2,2, , ,1,2,1,2,6,2,2,2,2,2,2, ,2,2, , , , , , , , , , , , , ,6,2, ,2, , , , ,2,2, , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2, , , , , , , , , , , , , , , , ,1,2,2,2, , , , , , , , , , , , ,2,2,2,49,2, , , ,2,6,5,2, ,2,6,1, ,2, , , , , ,OBAMA PHONE, , , , , ,1.806451613,0.570436273
102362,1,1,34,34029,1,S,2,2,2,1, , ,1,2,1, ,4, , , , , , ,1,2,2,2,2,1,2, , ,1,2,1,2,7,2,2,2,2,2,2, ,2,2, , , , , , , , , , , , , ,1, ,1, , ,2, , ,2,2,2,2,2, , , , , , , , ,1, ,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2, , , , , , , , , , , , , , , , ,2,2,2,8,1, ,2,1,3, ,2,1,2, ,9,2,2,2,2,24,2, , , ,2,3,7,2, ,1,9,9, ,2, , , , , , , , , , , ,3.161290323,0.998263479
102363,1,1,25,25017,1,S,2,1,1,3,1,1, ,1,1, ,4, , , , , , ,1,1,2,1,2,1,2,2, ,1,1,1,1,2,1,1,1,2,2,1,2,2,2, , , , , , , , , , , , , ,1, ,23, , ,2, , ,2,2, , , ,2,2, , , ,2,2,2, , , , ,2, , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , ,1,2, , , , , , , , , , , , , , , , ,1,1,2,2,1,1,2,1,3, ,2,2,2,1,2,2,2,2,2,50,1,0,1,0,2,6,1,2, ,1,99,1, ,2, , , , , , , , , , , ,2.967741935,0.937145306
102367,1,1,36,36103,1,S,2,2,2,3, , ,1,1,1, ,5, , , , , , ,2,1,1,2,1,1,1, ,2,1,1,1,1,1,1,2,1,1,1,1,1,2,1, , , , , , , , , , , , , ,1, ,35, , ,2, , ,2,2, , , ,2,2, , , ,2,2,2, , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1, , , , , , , , , , , , , , , , ,1,1,2,2,1,2,2,2,3, ,2,2,2,2,2,2,2,2,2,99,2, , , ,3,8,3,2, ,5,99,1, ,3, , , , , , , , , , , ,2.612903226,0.825095324
102368,1,1,36,36081,1,U,1,2,1,2, , ,1,2,1, ,2, , , , , , ,1,1,2,2,2,2,2, ,2,1,2,1,2,2,2,2,2,2,2,2, ,2,2, , , , , , , , , , , , , ,6,2, ,2, , , , ,2,2, , , ,2,2, , , ,2,2,2, , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2, , , , , , , , , , , , , , , , ,2,2,2,2, , , , , , , , , , , , ,2,2,2,23,2, , , ,5,3,4,2, ,3,98,1, ,3, , , , , , , , , , , ,5.806451613,1.833545165
102369,1,1,13,13089,3,S,2,1,2,3,1,1, ,1,1, ,2, , , , , , ,2,1,2,2,2,2,2,2, ,1,1,1,2,7,1,2,1,2,2,1,2,2,2, , , , , , , , , , , , , ,6,2, ,2, , , , ,1,1, , , ,1,2, , , ,1,1,2, , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2, , , , , , , , , , , , , , , , ,1,1,2,1, , , , , , , , , , , , ,2,1,2,99,2, , , ,2,4,1,2, ,2,5,1, ,2, , , , , , , , , , , ,1.483870968,0.468572653
102372,1,1,37,37147,3,U,1,1,2,2,1,1, ,1,1, ,4, , , , , , ,1,2,2,2,2,1,1, , ,1,1,1,2,8,2,2,2,2,2,1, ,2,2, , , , , , , , , , , , , ,6,9, ,9, , , , ,2,2, , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1, , , , , , , , , , , , , , , , ,1,8,2,2, , , , , , , , , , , , ,2,2,2,58,2, , , ,2,8,1,2, ,1,99,1, ,2, , , , , , , , , , , ,1.451612903,0.458386291
102375,1,1,13,13077,3,S,1,2,2,3, , ,1,1,1, ,3, , , , , , ,2,1,2,2,2,2,2, ,2,1,2,1,1,1,2,2,2,2,2,1, ,2,2, , , , , , , , , , , , , ,5,2, ,2, , , , ,2,2, , , ,2,2, , , ,2,2,2, , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2, , , , , , , , , , , , , , , , ,1,2,1,1, , , , , , , , , , , , ,2,2,2,63,2, , , ,1,3,3,2, ,1,3,1, ,3, , , , , , , , , , , ,1.741935484,0.550063549
102383,1,1,42,42079,1,S,2,1,2,3,1,1, ,2,1, ,3, , , , , , ,2,2,2,2,2,2,2, , ,1,2,1,2,8,2,2,2,2,2,2, ,2,2, , , , , , , , , , , , , ,1, ,28, , ,2, , ,2,2, , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2, , , , , , , , , , , , , , , , ,1,2,1,1,1, ,2,1,3, ,2,2,2, ,2,2,2,2,2,99,2, , , ,2,4,4,2, ,1,98,1, ,3, , , , , , , , , , , ,2,0.631554446
102386,1,1,37,37147,3,U,2,2,2,1, , ,1,1,1, ,2, , , , , , ,1,1,1,1,2,1,1, ,2,1,1,1,1,3,1,1,1,1,1,1,3,1,1,1, , , , , , , , , , , , ,3,1,13, , ,2, , ,1,2, , , ,2,1, , , ,1,1,1, , , , ,2, , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , ,1,1, , , , , , , , , , , , , , , , ,8,8,8,2,2,2,2,2,3, ,2,2,2,1,2,2,2,2,2,57,2, , , ,1,6,1,1,1,2,6,1, ,1, , , , , , , , , , , ,1,0.315777223
102397,1,1,26,26163,2,S,2,1,2,4,2,2, ,2, , , ,2,2,2,10,2,2, , , , , , , , , ,2,2,0, , , , , , , , , , , , , , , , , , , , , , , , ,5,2, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2, , , , , , , , , , , , , , , , ,2,2,2,2, , , , , , , , , , , , , , , ,67,2, , , ,1,3,6,2, ,1,99,1,2, , , , , , , , , , , , ,3.35483871,1.059381651
102402,1,1,20,20147,2,R,2,1,2,2,2,2, ,2, , , ,2,2,2,8,2,2, , , , , , , , , ,2,2,0, , , , , , , , , , , , , , , , , , , , , , , , ,5,2, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2, , , , , , , , , , , , , , , , ,8,8,8,8, , , , , , , , , , , , , , , ,77,2, , , ,1,3,3,2, ,1,98,1,2, , , , , , , , , , , , ,2.677419355,0.845468048
102410,1,2,8,8059,4,U,1,1,2,3,2,2, ,2, , , ,2,2,2,2,2,1, , , , , , , , , ,2,2,0, , , , , , , , , , , , , , , , , , , , , , , , ,6,2, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2, , , , , , , , , , , , , , , , ,1,1,8,1, , , , , , , , , , , , , , , ,72,2, , , ,1,1,3,1,3,1,98,8,2, , , , , , , , , , , , ,3.290322581,1.039008927
